mission,koi_id,koi_name,koi_time0bk,koi_period,koi_duration,koi_is_planet
TESS,467179528,1266.01,2459617.067824,10.894860,0.086874,1
TESS,467179528,1266.02,2459611.249023,18.801532,0.080179,1
TESS,158561566,1267.01,2459425.412816,6.790092,0.247509,1
TESS,234523599,127.01,2458325.650603,3.795518,0.084159,1
TESS,286923464,1271.01,2458712.665520,6.134880,0.232708,1
TESS,43064903,1276.01,2458712.548761,6.264298,0.099583,0
TESS,153949511,1277.01,2458684.965000,nan,0.191667,0
TESS,163539739,1278.01,2458711.959772,14.476217,0.064893,1
TESS,236445129,1282.01,2459445.892853,0.968994,0.095625,1
TESS,266593143,1283.01,2458719.475770,10.337891,0.169391,1
TESS,267561446,1284.01,2458711.815604,1.283251,0.083844,0
TESS,274662200,1285.01,2458712.366400,1.228439,0.079959,0
TESS,408203470,1289.01,2458711.410631,0.581322,0.055255,0
TESS,201248411,129.01,2458326.102581,0.980981,0.022521,1
TESS,417676622,1290.01,2458683.410061,5.398755,0.160707,1
TESS,199688472,1292.01,2458685.090320,1.441190,0.091208,0
TESS,219854185,1296.01,2459609.187285,3.944367,0.199333,1
TESS,229536616,1297.01,2458686.938660,3.930340,0.152792,0
TESS,237104103,1298.01,2459610.157926,4.537157,0.161875,1
TESS,258777134,1299.01,2459599.130762,5.929405,0.154958,0
TESS,263003176,130.01,2459368.982611,14.339206,0.191118,1
TESS,293687315,1300.01,2459610.148163,2.871546,0.193481,1
TESS,185405474,1303.01,2458684.136350,1.560290,0.114625,0
TESS,186000935,1304.01,2459434.724903,8.873485,0.138542,0
TESS,232679662,1305.01,2458687.799350,7.850210,0.293250,0
TESS,233735068,1306.01,2458683.635000,7.686660,0.183750,0
TESS,277014266,1308.01,2459446.290468,1.379709,0.098000,0
TESS,287190564,1309.01,2458684.762840,1.498610,0.119625,0
TESS,294179389,1310.01,2458685.470500,2.679600,0.115458,0
TESS,11111899,1313.01,2458684.289280,0.619440,0.065917,0
TESS,137284119,1315.01,2458711.977380,2.572820,0.143542,0
TESS,15565627,1316.01,2458684.060720,3.805090,0.139458,0
TESS,165523947,1317.01,2458711.857760,2.990410,0.164667,0
TESS,167098530,1319.01,2458712.796620,1.784110,0.075250,0
TESS,89020549,132.01,2458326.902893,2.109685,0.088378,1
TESS,195199644,1321.01,2458712.259710,1.198880,0.064917,0
TESS,256886630,1323.01,2458713.200590,2.039050,0.094167,0
TESS,274942910,1325.01,2458711.996180,1.079220,0.099708,0
TESS,345996087,1329.01,2458712.723220,2.019760,0.141417,0
TESS,387664866,1331.01,2458712.517580,2.656460,0.103125,0
TESS,387664868,1332.01,2458712.513690,2.656880,0.108958,0
TESS,395171208,1333.01,2458715.117140,4.720880,0.182250,1
TESS,42123111,1334.01,2458686.467100,4.033490,0.111833,0
TESS,89759617,1335.01,2458685.602750,3.330410,0.165667,0
TESS,92783821,1336.01,2459442.068334,3.861598,0.069917,0
TESS,160708862,1337.01,2459335.352184,3.344911,0.145701,1
TESS,260128333,1338.01,2458579.042507,95.200000,0.484654,1
TESS,269701147,1339.01,2459612.268904,8.880323,0.127114,1
TESS,269701147,1339.02,2458726.055504,28.579673,0.184875,1
TESS,269701147,1339.03,2458743.551162,38.353532,0.235974,1
TESS,234994474,134.01,2458326.033161,1.401525,0.055083,1
TESS,233681149,1340.01,2458683.689629,8.587467,0.214412,0
TESS,233390838,1341.01,2459433.723305,6.447497,0.107500,0
TESS,256621916,1342.01,2458684.475620,1.413540,0.050542,0
TESS,358631536,1343.01,2458714.787440,3.403040,0.209583,0
TESS,229770036,1348.01,2458684.501730,2.140560,0.084542,0
TESS,267263253,135.01,2459039.738438,4.126910,0.184542,1
TESS,365683032,1354.01,2458716.300910,1.429040,0.137125,0
TESS,357972447,1357.01,2458715.169640,0.337590,0.055000,0
TESS,275501623,1358.01,2458739.599110,1.673460,0.105833,0
TESS,416624606,1359.01,2458717.601290,2.515840,0.110167,0
TESS,410153553,136.01,2459036.323679,0.462884,0.023284,1
TESS,330468175,1360.01,2458739.280000,0.709020,0.103750,0
TESS,230017325,1363.01,2459660.567695,9.692663,0.117333,0
TESS,367099243,1365.01,2458739.498470,1.828600,0.144333,0
TESS,129539786,1367.01,2458739.373040,2.088390,0.089167,0
TESS,136971594,1368.01,2458711.813690,1.255620,0.096000,0
TESS,176957796,137.01,2459199.440315,4.817380,0.055125,0
TESS,155114483,1370.01,2458740.102110,5.264910,0.105958,0
TESS,164150539,1372.01,2458741.732240,6.160270,0.014958,0
TESS,176899385,1373.01,2458740.188710,3.852880,0.135958,1
TESS,190430205,1374.01,2458712.068660,1.068840,0.104667,0
TESS,190442486,1375.01,2458715.253060,5.457270,0.133458,0
TESS,240613164,1377.01,2458712.053240,1.991430,0.172333,0
TESS,274170255,1380.01,2458712.049510,1.410720,0.109292,0
TESS,276360911,1382.01,2458738.896230,0.444820,0.044083,0
TESS,313506357,1383.01,2458739.626210,1.537090,0.097917,0
TESS,328167090,1384.01,2458739.015370,0.712550,0.075375,0
TESS,329864959,1385.01,2458739.967440,4.523180,0.212458,0
TESS,343442463,1387.01,2458739.522200,0.783810,0.060125,0
TESS,346338552,1388.01,2458739.942680,4.464910,0.112625,1
TESS,365389353,1390.01,2458716.353540,2.637250,0.119583,0
TESS,389182138,1391.01,2458740.107050,2.726870,0.102792,0
TESS,416987878,1392.01,2458712.766500,2.868760,0.100917,0
TESS,468845640,1396.01,2458741.729140,3.993070,0.199292,0
TESS,64553698,1397.01,2458739.384470,8.679110,0.146500,0
TESS,258801269,1400.01,2458689.025680,5.489230,0.137083,0
TESS,259129875,1402.01,2458684.097150,0.438890,0.039458,0
TESS,387834907,1405.01,2458739.880110,12.640010,0.287208,0
TESS,231736113,1406.01,2459218.231402,10.573982,0.168333,1
TESS,69747919,1407.01,2459085.391120,9.978130,0.129458,1
TESS,403224672,141.01,2459062.557243,1.008227,0.062603,1
TESS,164173105,1417.01,2458739.286637,3.072641,0.092899,1
TESS,224600500,1418.01,2458683.681558,0.676323,0.109162,0
TESS,311035838,1419.01,2458739.450795,2.899733,0.085408,1
TESS,128501004,1426.01,2458739.001200,0.789990,0.048042,0
TESS,2041563029,1427.01,2458747.009710,12.807580,0.149833,0
TESS,377304435,1428.01,2458691.560610,11.356260,0.251958,0
TESS,138968089,1429.01,2458711.558151,0.641256,0.046505,0
TESS,25375553,143.01,2458325.582463,2.310969,0.142933,1
TESS,375506058,1431.01,2458712.675266,2.650440,0.104977,1
TESS,261136679,144.01,2459365.963755,6.267811,0.125664,1
TESS,235683377,1442.01,2458683.451134,0.409074,0.022737,1
TESS,258514800,1444.01,2458711.369859,0.470254,0.048023,1
TESS,199376584,1456.01,2459440.739407,18.712192,0.251125,1
TESS,191284318,1458.01,2458766.821540,2.775980,0.124333,1
TESS,355636844,146.01,2458330.556180,6.296320,0.122417,0
TESS,188768068,1462.01,2459580.599154,2.177942,0.096864,1
TESS,190998418,1463.01,2458764.891401,2.879303,0.116099,1
TESS,236887394,1465.01,2459608.080733,1.420024,0.061500,1
TESS,283722336,1469.01,2458765.954785,3.092927,0.035433,1
TESS,283722336,1469.02,2458766.169561,6.765084,0.065772,1
TESS,220435095,147.01,2458326.612700,3.423210,0.097333,0
TESS,427654774,1474.01,2458765.042474,5.222621,0.195568,0
TESS,432549364,1476.01,2458765.533801,1.217509,0.113804,1
TESS,240681314,1477.01,2458765.648866,2.732681,0.093816,1
TESS,409794137,1478.01,2459249.262076,10.180207,0.161917,1
TESS,421308357,1479.01,2458685.032190,16.683560,0.121958,0
TESS,393940766,148.01,2458327.331330,4.867069,0.134656,1
